可看，但只适于上过初中的人看，隔壁年轻妈妈带小孩，幼儿园大的小女孩懵了半场，她妈快笑疯了，毕竟很多笑点代入感都是自己中学那些沙雕事。,3
中国动画编剧永远是高中生水平,3
看完《消失的她》远离男人，看完《八角笼中》养不起孩子，看完《长安》上了一堂课，看完《茶啊二中》快乐的什么都忘记了！暂停逃离成年人的世界吧。一起鸡飞狗跳，一起高兴烦恼，一起回到了那个笑的最大声的时候。,5
占用了体活课真的会让学生痛苦，零分的评价表真的会让老师难过。地下室是没收用品的天堂，会议室是连篇废话的地狱，寝室是吃鸳鸯锅的夜宵摊，卫生间才是开小会的集聚地。肉串好不好，关键看咋烤，平时吊儿郎当，黄金阶梯绝不给老师丢面儿。听过了如雷鼾声，签过了自制奖状，我们互换了身份才懂得彼此。,4
"近期终于有一部不让人恐婚、恐育、恐养孩子的快乐喜剧了。
青春太匆匆。
90分钟的快乐之后来不及跟上一个“但是”。
那年的我们总觉得还能再去的串神烧烤摊，不管是考得好还是又一次垂头丧气；
那年的我们也曾翘课去网吧玩游戏，也有一个石老师会明察秋毫，抓一个无处遁形……
这些熟悉的话题因为灵魂互换的巧妙设计变化出眼前一亮的欢喜，让人放下负担就像重新穿上校服那样穿回青春。
青春就是这部电影递过来的校服，闪闪发光，永不过时。
我们也许再一次为谁去上公开课攥紧拳头，我们也可以再一次为不纯以分数排名字而扬眉吐气。
这里有校园中我们那么熟悉的故事，这是属于我们的故事，这是属于我们的电影。",5
梗俗且土嗨，没有太多亮点。人物剧情偏弱智，无太大创新点，笑点也不太高明。,3
“茶啊冲”是长春过去的称谓，动画做了名字拆解，以东北师范大学附属中学为原型命名为“茶啊二中”。原动画题材本来不是我主动会去关注的类型，机缘巧合，五年前支教时候队里有个东北哥哥，在我们吃饭间隙总放这个动画，不知不觉跟着看完了，意料之外觉得蛮有意思，对这个IP有了初步印象。春节档《深海》放了这部电影版的贴片预告，当时还蛮惊喜的，原来消失的五年里他们在闷声搞大制作。电影层面上，团队横跨疫情耗时五年，从二十几人小团队变成两千多人参与的大工程:人物形象、动作流畅性都得到质的提升，CV也有下功夫。看了超前点映，值得！原作粉可以闭眼冲。没看过番剧的小伙伴也不用担心观影门槛，丢了很多无厘头的包袱，东北自带的喜剧效果依然适用，笑点密集很解压，保证可以笑着走出影院。另外，王心凌唱的主题曲《像我们从前》很好听！,4
只比剧版好一点，勉强达到及格线。（茶啊冲：吉林长春的旧称）,3
好糟糕 为什么仍然有创作者热衷于拿性别刻板印象来作为笑点 特别是对这种主要受众群为青少年的动画片来说,2
“男主角”跳皮筋那场戏整个影厅哄堂大笑，我也忍不住笑了，又很快想到曾经班上因为相同原因受到霸凌的同学，我感到无比羞愧。We should be.,2
因为画风的关系，前几轮点映都没入场，但耐不住同事都在反复安利“笑疯了”，好奇心忍耐不住。结果真的，完全超出预期，全场笑声没停过，氛围愉悦又解压，喜剧效果要高过大多数同类项真人电影。和当年的《哪吒》一样，之前的偏见，会随着笑点被逐层打破。影片把那些日常校园里的生活细节、潜规则进行放大，看着离奇，但其实都是我们经历过的青春。,4
笑点也算密集，可能和东北的学校背景很像。但是说实话，我看得很不适，为什么对好班的印象就是当面一套背后一套的人渣，对女老师的印象就是有颗媒婆痣的凶恶女人。在我学生生涯中，我们老师并不会去网吧这么尽心去逮你，最多你翻墙抓到直接给你记过，好班的同学只会在学习上被普通班超过然后嘴硬，并不会直接人身攻击说别人是垃圾。总之，这是一部还算合格的喜剧电影，但是刻板印象严重，看着不舒服,3
"以长春为背景，那个东北并不通用的大回小回又加入银幕上少见的大连话，极丰富了语言层次，这次东北口音的台词真正做到了多元与立体，生动、自然、流畅，使人倍感亲切。
挺好，真的很好，令人感动，我可以站出来说它真正富有教育意义，很适合老师带全班同学来观影，欢笑声中理解彼此的不易。
相比于众多校园题材的动画把背景选取在高中，我其实一直觉得十四五岁的初中在青春中才是真正的纯粹，更自由、更肆意、更有活力，也更中二，哪怕淘气犯错也更有孩子气。在充盈的笑声和紧凑的剧情中，我忘记了时间的流逝，我想起了记忆中那些美好的东西，原来回忆并不都是伤感与惆怅，还有这些明媚的阳光。
当老师在公开课上写下全新的章节，转过身，那明媚温暖的光照在墨绿色的黑板上，又映衬在老师的轮廓上，我没想到在这么一部搞笑的作品中我会想要哭出来。",4
顽劣学渣和暴躁班主任灵魂互换，身份反差够大，开局引人。这种轻奇幻喜剧，拼的就是“度桥”，从一个点子引出连串麻烦，麻烦够多够新鲜，就能像一颗颗石子激出的涟漪互相干扰，增减消长，让情绪起起伏伏。电影起初有些呆板，但渐入佳境，最后比较娴熟地让笑料和情怀依次抵达，热闹够看，动人不缺，娱乐性能打。在喜剧和治愈之外，还偷渡一些不那么光明的校园潜规则，像差别对待、贫困补助等蕴含的批判意味，也让人对创作意图高看一眼。真诚的校园电影不多见，如果是动画，更容易夹带来自成年视角的扭曲和偏误，庆幸本片没有成为其中之一，满是纯净良善。你可能无法穿校服去影院，但一个真诚的青春电影会让你看到，十几岁的那个你从未从心里离开。,5
一些很成熟的类型片元素和一种挥之不去的刘老根大舞台即视感相结合,3
"在老师和学生互换身体的设定下，从关乎班级荣誉的公开课比赛进入剧情，十分自然，笑点密集而不低俗，瞬间将大家拉回曾经经历过的校园生活。
从番剧到电影，主打没有观影门槛，全程毫不烧脑。但笨拙又热血的气质没有变，是差生又怎样，只是不想被放弃啊。
希望国产动画多一些真正的喜剧，少一些烂梗堆砌。毕竟，观众是懂笑的！
PS：电影时长特别友好，解压而不腻，结尾还有彩蛋，别错过。",5
本年度意外之喜，国产喜剧的希望！喜剧不止是堆砌浮夸潦草、隔靴搔痒的烂梗段子，喜剧更是一个系统性工程，故事，题材，审美，乃至对于喜剧风格的独到理解，缺一不可。本片创作团队做了一个极好的示范，即，发挥出动画的优势为喜剧服务。以清奇的画风，超脱的想象力，带方言的配音，以及流畅跌宕的剧情来系统性搞笑，为喜剧电影提供了全新的可能！最后，还想表达一下一个很私人的观感，本片首先是喜剧，然后才是动画。推荐观看。,5
怎么说有多好笑呢——笑到飙泪，又莫名心酸，到最后更是体验了一把情绪“高燃”。就是带着吵架的男朋友一起去看，你两都得笑着看完再打。,5
粗糙的建模、尴尬的笑点加刻意的煽情和依托答辩的剧本…..长见识了，原来这就是市面上的子供向🫠🫠🫠,2
石老师想对学生好可是用错了方法，想成为学生心目中真正的优秀教师，一切还不晚。从头笑到尾，非常热血非常燃，玩梗很多但不会觉得烦。,5
实在找不到笑点在哪儿，制作水平还停留在十年前。,1
为了纪念来来回回刷《茶啊二中》的日子，迫不及待的看了电影的提前点映场，感谢《茶啊二中》让我又回到了那个肆无忌惮的夏天，还有曾经拼命想要逃离，如今做梦都想回去的地方。所有关于青春的共鸣，被这部国产校园动画稳稳托住，糅合在90分钟的时间里，给到我真心的快乐和真心的感动。,5
很良心的校园国漫，浓缩了一代人鸡飞狗跳、简单欢乐的青葱岁月，又是国内大荧幕从未见过的喜剧动画。青春就是用来嬉笑、打闹、范中二的呀。有些回忆杀是上过中学的人都共通的，有些只属于长春，相信长春人会更有共鸣。使用方言很加分，满满的东北嗑，增强了人物的鲜活趣味和笑点密集感。配乐真的贼带感，尤其王心凌老师的压轴片尾曲，搭配剧情，秒回那个最二最快乐、最勇敢最热血的青春时代，谁又不会为之动容呢。,5
"中间有段确实好笑，但是整体一般，煽情煽的太突然了，不好看。
这破片怎么搞到8分多的啊😐",2
